iter	Passed	Remaining
0	156	155879
1	168	84025
2	179	59697
3	192	47818
4	204	40629
5	217	36045
6	230	32736
7	242	30033
8	257	28327
9	273	27060
10	285	25653
11	296	24376
12	311	23675
13	326	22984
14	339	22306
15	354	21776
16	368	21289
17	383	20935
18	397	20520
19	409	20080
20	422	19678
21	435	19369
22	448	19050
23	463	18836
24	474	18518
25	488	18290
26	500	18046
27	513	17841
28	526	17615
29	543	17560
30	556	17383
31	570	17270
32	583	17102
33	596	16942
34	610	16846
35	623	16703
36	635	16550
37	648	16423
38	661	16308
39	674	16191
40	686	16062
41	698	15937
42	710	15814
43	723	15714
44	741	15733
45	753	15637
46	767	15565
47	783	15548
48	796	15453
49	809	15382
50	823	15330
51	838	15285
52	852	15226
53	869	15233
54	880	15130
55	891	15034
56	906	14998
57	920	14950
58	933	14890
59	946	14827
60	959	14768
61	971	14702
62	983	14620
63	995	14566
64	1006	14477
65	1017	14404
66	1030	14347
67	1042	14288
68	1058	14275
69	1071	14235
70	1084	14188
71	1096	14131
72	1108	14076
73	1125	14078
74	1137	14033
75	1151	13994
76	1165	13966
77	1180	13952
78	1195	13935
79	1208	13892
80	1222	13866
81	1233	13812
82	1249	13804
83	1264	13790
84	1277	13747
85	1289	13707
86	1301	13658
87	1315	13637
88	1331	13624
89	1344	13593
90	1359	13583
91	1373	13556
92	1388	13538
93	1401	13510
94	1417	13500
95	1432	13487
96	1446	13463
97	1461	13448
98	1472	13401
99	1486	13377
100	1499	13349
101	1513	13325
102	1530	13329
103	1546	13326
104	1561	13306
105	1572	13264
106	1586	13238
107	1604	13251
108	1616	13216
109	1632	13207
110	1645	13181
111	1659	13158
112	1673	13137
113	1688	13125
114	1703	13113
115	1717	13088
116	1731	13071
117	1745	13047
118	1759	13028
119	1773	13008
120	1787	12987
121	1802	12973
122	1816	12948
123	1830	12930
124	1845	12921
125	1859	12901
126	1873	12881
127	1888	12863
128	1904	12856
129	1916	12828
130	1931	12811
131	1945	12793
132	1960	12777
133	1972	12748
134	1989	12745
135	2003	12727
136	2017	12711
137	2032	12695
138	2047	12683
139	2062	12669
140	2075	12644
141	2088	12621
142	2103	12604
143	2116	12581
144	2129	12555
145	2144	12541
146	2158	12523
147	2173	12510
148	2185	12484
149	2199	12461
150	2214	12451
151	2229	12436
152	2244	12427
153	2259	12414
154	2274	12401
155	2290	12389
156	2307	12391
157	2323	12383
158	2341	12382
159	2357	12378
160	2373	12368
161	2390	12365
162	2406	12356
163	2420	12341
164	2435	12324
165	2451	12317
166	2466	12300
167	2482	12293
168	2497	12283
169	2512	12267
170	2528	12256
171	2545	12253
172	2561	12243
173	2577	12234
174	2592	12223
